Home,Week,Day,Breakfast,Breakfast Amount,Snack AM,Snack AM Amount,Lunch,Lunch Amount,Snack PM,Snack PM Amount,Dinner,Dinner Amount,Snack HS,Snack HS Amount,Total,Total Amount,Diet
Corporate Menu-Cost,1,Monday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.40,,0.00,Choice 1,1.01,Choice 1,1.49,Regular | Texture: Regular
Linhaven For The Aged,,,Choice 2,2.26,Choice 2,0.44,Choice 2,4.02,Choice 2,0.69,Choice 2,4.87,Choice 2,0.69,Choice 2,12.97,Vegetarian | Texture: Regular
Linhaven For The Aged,4,Monday,Choice 1,2.45,Choice 1,0.08,Choice 1,4.95,Choice 1,0.64,Choice 1,3.66,Choice 1,0.86,Choice 1,12.64,Vegetarian | Texture: Regular
Linhaven For The Aged,,,Choice 2,2.16,Choice 2,0.44,Choice 2,5.65,Choice 2,0.69,Choice 2,5.28,Choice 2,0.69,Choice 2,14.91,Vegetarian | Texture: Regular
Linhaven For The Aged,4,Tuesday,Choice 1,3.06,Choice 1,0.03,Choice 1,6.41,Choice 1,0.86,Choice 1,3.83,Choice 1,1.09,Choice 1,15.28,Vegetarian | Texture: Regular
Linhaven For The Aged,,,Choice 2,2.45,Choice 2,0.44,Choice 2,4.53,Choice 2,0.69,Choice 2,5.64,Choice 2,0.69,Choice 2,14.44,Vegetarian | Texture: Regular
Linhaven For The Aged,4,Wednesday,Choice 1,2.37,Choice 1,0.08,Choice 1,6.32,Choice 1,0.20,Choice 1,4.63,Choice 1,0.77,Choice 1,14.37,Vegetarian | Texture: Regular
Linhaven For The Aged,,,Choice 2,2.19,Choice 2,0.44,Choice 2,4.35,Choice 2,0.69,Choice 2,5.39,Choice 2,0.69,Choice 2,13.75,Vegetarian | Texture: Regular
Linhaven For The Aged,4,Thursday,Choice 1,3.74,Choice 1,0.08,Choice 1,4.74,Choice 1,0.39,Choice 1,3.69,Choice 1,1.00,Choice 1,13.64,Vegetarian | Texture: Regular
Linhaven For The Aged,,,Choice 2,2.35,Choice 2,0.44,Choice 2,4.48,Choice 2,0.69,Choice 2,5.20,Choice 2,0.69,Choice 2,13.85,Vegetarian | Texture: Regular
Linhaven For The Aged,4,Friday,Choice 1,2.52,Choice 1,0.08,Choice 1,4.07,Choice 1,0.26,Choice 1,4.48,Choice 1,0.46,Choice 1,11.87,Vegetarian | Texture: Regular
Linhaven For The Aged,,,Choice 2,2.26,Choice 2,0.44,Choice 2,4.68,Choice 2,0.69,Choice 2,5.82,Choice 2,0.69,Choice 2,14.58,Vegetarian | Texture: Regular
Linhaven For The Aged,4,Saturday,Choice 1,3.52,Choice 1,0.08,Choice 1,3.90,Choice 1,0.97,Choice 1,6.12,Choice 1,0.85,Choice 1,15.44,Vegetarian | Texture: Regular
Linhaven For The Aged,,,Choice 2,2.35,Choice 2,0.44,Choice 2,4.25,Choice 2,0.69,Choice 2,6.31,Choice 2,0.69,Choice 2,14.73,Vegetarian | Texture: Regular
Linhaven For The Aged,4,Sunday,Choice 1,3.03,Choice 1,0.08,Choice 1,5.26,Choice 1,0.37,Choice 1,6.44,Choice 1,0.78,Choice 1,15.96,Vegetarian | Texture: Regular
Linhaven For The Aged,,,Choice 2,2.19,Choice 2,0.44,Choice 2,4.07,Choice 2,0.69,Choice 2,6.68,Choice 2,0.69,Choice 2,14.76,Vegetarian | Texture: Regular
Linhaven For The Aged,1,Monday,Choice 1,2.54,Choice 1,0.08,Choice 1,4.82,Choice 1,0.38,Choice 1,4.46,Choice 1,0.93,Choice 1,13.21,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.16,Choice 2,0.44,Choice 2,5.21,Choice 2,0.80,Choice 2,4.35,Choice 2,0.80,Choice 2,13.76,Vegetarian | Texture: Minced
Linhaven For The Aged,1,Tuesday,Choice 1,3.06,Choice 1,0.03,Choice 1,4.83,Choice 1,0.30,Choice 1,4.53,Choice 1,0.92,Choice 1,13.67,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.45,Choice 2,0.44,Choice 2,5.37,Choice 2,0.80,Choice 2,3.88,Choice 2,0.80,Choice 2,13.74,Vegetarian | Texture: Minced
Linhaven For The Aged,1,Wednesday,Choice 1,2.85,Choice 1,0.08,Choice 1,3.52,Choice 1,0.71,Choice 1,5.37,Choice 1,0.76,Choice 1,13.29,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.19,Choice 2,0.44,Choice 2,4.71,Choice 2,0.80,Choice 2,4.31,Choice 2,0.80,Choice 2,13.25,Vegetarian | Texture: Minced
Linhaven For The Aged,1,Thursday,Choice 1,3.16,Choice 1,0.08,Choice 1,4.62,Choice 1,0.26,Choice 1,3.40,Choice 1,1.23,Choice 1,12.75,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.35,Choice 2,0.44,Choice 2,4.01,Choice 2,0.80,Choice 2,5.76,Choice 2,0.80,Choice 2,14.16,Vegetarian | Texture: Minced
Linhaven For The Aged,1,Friday,Choice 1,2.60,Choice 1,0.08,Choice 1,4.54,Choice 1,0.27,Choice 1,3.43,Choice 1,0.77,Choice 1,11.69,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.26,Choice 2,0.44,Choice 2,4.41,Choice 2,0.80,Choice 2,5.09,Choice 2,0.80,Choice 2,13.80,Vegetarian | Texture: Minced
Linhaven For The Aged,1,Saturday,Choice 1,2.66,Choice 1,0.08,Choice 1,4.24,Choice 1,0.64,Choice 1,3.72,Choice 1,0.96,Choice 1,12.30,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.35,Choice 2,0.44,Choice 2,4.33,Choice 2,0.80,Choice 2,4.97,Choice 2,0.80,Choice 2,13.69,Vegetarian | Texture: Minced
Linhaven For The Aged,1,Sunday,Choice 1,3.15,Choice 1,0.08,Choice 1,4.63,Choice 1,0.23,Choice 1,7.05,Choice 1,0.26,Choice 1,15.40,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.19,Choice 2,0.44,Choice 2,4.87,Choice 2,0.80,Choice 2,4.94,Choice 2,0.80,Choice 2,14.04,Vegetarian | Texture: Minced
Linhaven For The Aged,2,Monday,Choice 1,2.52,Choice 1,0.08,Choice 1,5.77,Choice 1,0.20,Choice 1,4.44,Choice 1,1.00,Choice 1,14.01,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.16,Choice 2,0.44,Choice 2,3.98,Choice 2,0.80,Choice 2,4.06,Choice 2,0.80,Choice 2,12.24,Vegetarian | Texture: Minced
Linhaven For The Aged,2,Tuesday,Choice 1,3.06,Choice 1,0.03,Choice 1,4.04,Choice 1,0.60,Choice 1,4.50,Choice 1,0.96,Choice 1,13.19,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.45,Choice 2,0.44,Choice 2,4.91,Choice 2,0.80,Choice 2,5.57,Choice 2,0.80,Choice 2,14.97,Vegetarian | Texture: Minced
Linhaven For The Aged,2,Wednesday,Choice 1,3.15,Choice 1,0.08,Choice 1,3.94,Choice 1,0.64,Choice 1,6.05,Choice 1,0.94,Choice 1,14.80,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,1.92,Choice 2,0.44,Choice 2,6.43,Choice 2,0.80,Choice 2,5.72,Choice 2,0.80,Choice 2,16.11,Vegetarian | Texture: Minced
Linhaven For The Aged,2,Thursday,Choice 1,2.85,Choice 1,0.08,Choice 1,4.88,Choice 1,0.29,Choice 1,5.23,Choice 1,0.85,Choice 1,14.18,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.37,Choice 2,0.44,Choice 2,4.96,Choice 2,0.80,Choice 2,6.26,Choice 2,0.80,Choice 2,15.63,Vegetarian | Texture: Minced
Linhaven For The Aged,2,Friday,Choice 1,2.70,Choice 1,0.08,Choice 1,4.16,Choice 1,0.27,Choice 1,4.43,Choice 1,1.81,Choice 1,13.45,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.16,Choice 2,0.44,Choice 2,4.57,Choice 2,0.80,Choice 2,4.41,Choice 2,0.80,Choice 2,13.18,Vegetarian | Texture: Minced
Linhaven For The Aged,2,Saturday,Choice 1,2.95,Choice 1,0.08,Choice 1,4.45,Choice 1,0.90,Choice 1,3.11,Choice 1,0.97,Choice 1,12.46,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.45,Choice 2,0.44,Choice 2,4.70,Choice 2,0.80,Choice 2,6.41,Choice 2,0.80,Choice 2,15.60,Vegetarian | Texture: Minced
Linhaven For The Aged,2,Sunday,Choice 1,3.15,Choice 1,0.08,Choice 1,4.19,Choice 1,0.26,Choice 1,5.31,Choice 1,0.82,Choice 1,13.81,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.16,Choice 2,0.44,Choice 2,3.93,Choice 2,0.80,Choice 2,4.27,Choice 2,0.80,Choice 2,12.40,Vegetarian | Texture: Minced
Linhaven For The Aged,3,Monday,Choice 1,2.52,Choice 1,0.08,Choice 1,4.66,Choice 1,0.64,Choice 1,4.49,Choice 1,0.85,Choice 1,13.24,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.19,Choice 2,0.44,Choice 2,4.49,Choice 2,0.80,Choice 2,4.16,Choice 2,0.80,Choice 2,12.88,Vegetarian | Texture: Minced
Linhaven For The Aged,3,Tuesday,Choice 1,3.06,Choice 1,0.03,Choice 1,4.31,Choice 1,0.86,Choice 1,4.71,Choice 1,1.15,Choice 1,14.12,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.35,Choice 2,0.44,Choice 2,4.06,Choice 2,0.80,Choice 2,4.08,Choice 2,0.80,Choice 2,12.53,Vegetarian | Texture: Minced
Linhaven For The Aged,3,Wednesday,Choice 1,2.85,Choice 1,0.08,Choice 1,4.12,Choice 1,0.71,Choice 1,4.06,Choice 1,0.78,Choice 1,12.60,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.44,Choice 2,0.44,Choice 2,3.80,Choice 2,0.80,Choice 2,4.99,Choice 2,0.80,Choice 2,13.27,Vegetarian | Texture: Minced
Linhaven For The Aged,3,Thursday,Choice 1,2.89,Choice 1,0.08,Choice 1,4.91,Choice 1,0.61,Choice 1,4.60,Choice 1,0.78,Choice 1,13.87,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.35,Choice 2,0.44,Choice 2,4.91,Choice 2,0.80,Choice 2,6.28,Choice 2,0.80,Choice 2,15.58,Vegetarian | Texture: Minced
Linhaven For The Aged,3,Friday,Choice 1,2.62,Choice 1,0.08,Choice 1,4.79,Choice 1,0.29,Choice 1,5.11,Choice 1,0.79,Choice 1,13.68,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.19,Choice 2,0.44,Choice 2,4.85,Choice 2,0.80,Choice 2,5.39,Choice 2,0.80,Choice 2,14.47,Vegetarian | Texture: Minced
Linhaven For The Aged,3,Saturday,Choice 1,2.66,Choice 1,0.08,Choice 1,4.38,Choice 1,0.64,Choice 1,4.38,Choice 1,0.97,Choice 1,13.11,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.35,Choice 2,0.44,Choice 2,5.20,Choice 2,0.80,Choice 2,5.08,Choice 2,0.80,Choice 2,14.67,Vegetarian | Texture: Minced
Linhaven For The Aged,3,Sunday,Choice 1,3.15,Choice 1,0.08,Choice 1,6.98,Choice 1,0.26,Choice 1,5.27,Choice 1,0.26,Choice 1,16.00,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.26,Choice 2,0.44,Choice 2,4.02,Choice 2,0.80,Choice 2,4.74,Choice 2,0.80,Choice 2,13.06,Vegetarian | Texture: Minced
Linhaven For The Aged,4,Monday,Choice 1,2.52,Choice 1,0.08,Choice 1,4.91,Choice 1,0.64,Choice 1,3.85,Choice 1,0.83,Choice 1,12.83,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.16,Choice 2,0.44,Choice 2,6.13,Choice 2,0.80,Choice 2,4.59,Choice 2,0.80,Choice 2,14.92,Vegetarian | Texture: Minced
Linhaven For The Aged,4,Tuesday,Choice 1,3.06,Choice 1,0.03,Choice 1,6.17,Choice 1,0.86,Choice 1,3.85,Choice 1,1.81,Choice 1,15.78,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.45,Choice 2,0.44,Choice 2,4.53,Choice 2,0.80,Choice 2,5.31,Choice 2,0.80,Choice 2,14.33,Vegetarian | Texture: Minced
Linhaven For The Aged,4,Wednesday,Choice 1,2.87,Choice 1,0.08,Choice 1,5.68,Choice 1,0.20,Choice 1,4.66,Choice 1,0.77,Choice 1,14.26,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.19,Choice 2,0.44,Choice 2,4.69,Choice 2,0.80,Choice 2,5.28,Choice 2,0.80,Choice 2,14.20,Vegetarian | Texture: Minced
Linhaven For The Aged,4,Thursday,Choice 1,3.16,Choice 1,0.08,Choice 1,4.78,Choice 1,0.39,Choice 1,3.70,Choice 1,1.00,Choice 1,13.11,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.35,Choice 2,0.44,Choice 2,4.48,Choice 2,0.80,Choice 2,4.32,Choice 2,0.80,Choice 2,13.19,Vegetarian | Texture: Minced
Linhaven For The Aged,4,Friday,Choice 1,2.60,Choice 1,0.08,Choice 1,3.99,Choice 1,0.27,Choice 1,4.72,Choice 1,0.46,Choice 1,12.12,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.26,Choice 2,0.44,Choice 2,4.71,Choice 2,0.80,Choice 2,5.59,Choice 2,0.80,Choice 2,14.60,Vegetarian | Texture: Minced
Linhaven For The Aged,4,Saturday,Choice 1,2.93,Choice 1,0.08,Choice 1,3.96,Choice 1,0.97,Choice 1,6.12,Choice 1,1.01,Choice 1,15.07,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.35,Choice 2,0.44,Choice 2,4.32,Choice 2,0.80,Choice 2,6.12,Choice 2,0.80,Choice 2,14.83,Vegetarian | Texture: Minced
Linhaven For The Aged,4,Sunday,Choice 1,3.15,Choice 1,0.08,Choice 1,5.26,Choice 1,0.37,Choice 1,6.45,Choice 1,0.76,Choice 1,16.07,Vegetarian | Texture: Minced
Linhaven For The Aged,,,Choice 2,2.19,Choice 2,0.44,Choice 2,4.10,Choice 2,0.80,Choice 2,6.45,Choice 2,0.80,Choice 2,14.78,Vegetarian | Texture: Minced
Linhaven For The Aged,1,Monday,Choice 1,2.75,Choice 1,0.08,Choice 1,5.07,Choice 1,0.47,Choice 1,4.98,Choice 1,1.11,Choice 1,14.46,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.12,Choice 2,0.44,Choice 2,5.34,Choice 2,0.80,Choice 2,5.30,Choice 2,0.80,Choice 2,15.80,Vegetarian | Texture: Puree
Linhaven For The Aged,1,Tuesday,Choice 1,3.26,Choice 1,0.03,Choice 1,3.46,Choice 1,0.34,Choice 1,5.26,Choice 1,0.68,Choice 1,13.03,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.60,Choice 2,0.44,Choice 2,5.80,Choice 2,0.80,Choice 2,4.38,Choice 2,0.80,Choice 2,15.82,Vegetarian | Texture: Puree
Linhaven For The Aged,1,Wednesday,Choice 1,3.04,Choice 1,0.08,Choice 1,3.99,Choice 1,0.71,Choice 1,5.65,Choice 1,0.85,Choice 1,14.32,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.22,Choice 2,0.44,Choice 2,4.91,Choice 2,0.80,Choice 2,4.87,Choice 2,0.80,Choice 2,15.04,Vegetarian | Texture: Puree
Linhaven For The Aged,1,Thursday,Choice 1,3.24,Choice 1,0.08,Choice 1,4.70,Choice 1,0.57,Choice 1,4.37,Choice 1,1.23,Choice 1,14.19,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,2.39,Choice 2,0.44,Choice 2,5.17,Choice 2,0.80,Choice 2,6.43,Choice 2,0.80,Choice 2,16.03,Vegetarian | Texture: Puree
Linhaven For The Aged,1,Friday,Choice 1,2.82,Choice 1,0.08,Choice 1,4.59,Choice 1,0.49,Choice 1,3.53,Choice 1,0.62,Choice 1,12.13,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.60,Choice 2,0.44,Choice 2,5.21,Choice 2,0.80,Choice 2,5.94,Choice 2,0.80,Choice 2,16.79,Vegetarian | Texture: Puree
Linhaven For The Aged,1,Saturday,Choice 1,3.04,Choice 1,0.08,Choice 1,4.70,Choice 1,0.38,Choice 1,4.07,Choice 1,1.05,Choice 1,13.32,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,2.76,Choice 2,0.44,Choice 2,5.04,Choice 2,0.80,Choice 2,5.52,Choice 2,0.80,Choice 2,15.36,Vegetarian | Texture: Puree
Linhaven For The Aged,1,Sunday,Choice 1,3.57,Choice 1,0.08,Choice 1,4.63,Choice 1,0.72,Choice 1,7.24,Choice 1,0.26,Choice 1,16.50,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.22,Choice 2,0.44,Choice 2,5.42,Choice 2,0.80,Choice 2,5.73,Choice 2,0.80,Choice 2,16.41,Vegetarian | Texture: Puree
Linhaven For The Aged,2,Monday,Choice 1,2.75,Choice 1,0.08,Choice 1,5.86,Choice 1,0.77,Choice 1,4.71,Choice 1,1.18,Choice 1,15.35,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,2.76,Choice 2,0.44,Choice 2,4.59,Choice 2,0.80,Choice 2,5.06,Choice 2,0.80,Choice 2,14.45,Vegetarian | Texture: Puree
Linhaven For The Aged,2,Tuesday,Choice 1,3.26,Choice 1,0.03,Choice 1,4.50,Choice 1,0.66,Choice 1,4.70,Choice 1,1.05,Choice 1,14.20,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.60,Choice 2,0.44,Choice 2,5.69,Choice 2,0.80,Choice 2,6.30,Choice 2,0.80,Choice 2,17.63,Vegetarian | Texture: Puree
Linhaven For The Aged,2,Wednesday,Choice 1,3.57,Choice 1,0.08,Choice 1,3.99,Choice 1,0.70,Choice 1,6.26,Choice 1,0.90,Choice 1,15.50,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,2.59,Choice 2,0.44,Choice 2,6.80,Choice 2,0.80,Choice 2,6.39,Choice 2,0.80,Choice 2,17.82,Vegetarian | Texture: Puree
Linhaven For The Aged,2,Thursday,Choice 1,3.24,Choice 1,0.08,Choice 1,3.51,Choice 1,0.35,Choice 1,5.57,Choice 1,0.69,Choice 1,13.44,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,2.77,Choice 2,0.44,Choice 2,5.51,Choice 2,0.80,Choice 2,6.76,Choice 2,0.80,Choice 2,17.08,Vegetarian | Texture: Puree
Linhaven For The Aged,2,Friday,Choice 1,2.82,Choice 1,0.08,Choice 1,4.61,Choice 1,0.57,Choice 1,4.74,Choice 1,1.12,Choice 1,13.94,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,2.76,Choice 2,0.44,Choice 2,4.76,Choice 2,0.80,Choice 2,5.04,Choice 2,0.80,Choice 2,14.60,Vegetarian | Texture: Puree
Linhaven For The Aged,2,Saturday,Choice 1,3.06,Choice 1,0.08,Choice 1,4.74,Choice 1,0.90,Choice 1,3.35,Choice 1,0.97,Choice 1,13.10,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.22,Choice 2,0.44,Choice 2,5.51,Choice 2,0.80,Choice 2,6.94,Choice 2,0.80,Choice 2,17.71,Vegetarian | Texture: Puree
Linhaven For The Aged,2,Sunday,Choice 1,3.57,Choice 1,0.08,Choice 1,4.48,Choice 1,0.47,Choice 1,5.52,Choice 1,1.11,Choice 1,15.23,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.12,Choice 2,0.44,Choice 2,4.46,Choice 2,0.80,Choice 2,5.22,Choice 2,0.80,Choice 2,14.84,Vegetarian | Texture: Puree
Linhaven For The Aged,3,Monday,Choice 1,2.75,Choice 1,0.08,Choice 1,4.78,Choice 1,0.70,Choice 1,5.25,Choice 1,0.70,Choice 1,14.26,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.22,Choice 2,0.44,Choice 2,5.23,Choice 2,0.80,Choice 2,5.19,Choice 2,0.80,Choice 2,15.68,Vegetarian | Texture: Puree
Linhaven For The Aged,3,Tuesday,Choice 1,3.26,Choice 1,0.03,Choice 1,4.41,Choice 1,0.86,Choice 1,5.57,Choice 1,1.11,Choice 1,15.24,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,2.77,Choice 2,0.44,Choice 2,4.88,Choice 2,0.80,Choice 2,4.66,Choice 2,0.80,Choice 2,14.35,Vegetarian | Texture: Puree
Linhaven For The Aged,3,Wednesday,Choice 1,3.04,Choice 1,0.08,Choice 1,4.58,Choice 1,0.71,Choice 1,4.28,Choice 1,0.85,Choice 1,13.54,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.60,Choice 2,0.44,Choice 2,4.28,Choice 2,0.80,Choice 2,5.45,Choice 2,0.80,Choice 2,15.37,Vegetarian | Texture: Puree
Linhaven For The Aged,3,Thursday,Choice 1,2.99,Choice 1,0.08,Choice 1,4.99,Choice 1,0.69,Choice 1,4.93,Choice 1,0.96,Choice 1,14.64,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,2.76,Choice 2,0.44,Choice 2,4.28,Choice 2,0.80,Choice 2,5.13,Choice 2,0.80,Choice 2,14.21,Vegetarian | Texture: Puree
Linhaven For The Aged,3,Friday,Choice 1,2.82,Choice 1,0.08,Choice 1,5.06,Choice 1,0.39,Choice 1,5.40,Choice 1,0.99,Choice 1,14.74,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.22,Choice 2,0.44,Choice 2,5.49,Choice 2,0.80,Choice 2,5.89,Choice 2,0.80,Choice 2,16.64,Vegetarian | Texture: Puree
Linhaven For The Aged,3,Saturday,Choice 1,3.04,Choice 1,0.08,Choice 1,4.65,Choice 1,0.38,Choice 1,4.74,Choice 1,0.82,Choice 1,13.71,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,2.39,Choice 2,0.44,Choice 2,5.94,Choice 2,0.80,Choice 2,5.45,Choice 2,0.80,Choice 2,15.82,Vegetarian | Texture: Puree
Linhaven For The Aged,3,Sunday,Choice 1,3.57,Choice 1,0.08,Choice 1,7.14,Choice 1,0.57,Choice 1,5.80,Choice 1,0.26,Choice 1,17.42,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.60,Choice 2,0.44,Choice 2,5.22,Choice 2,0.80,Choice 2,5.35,Choice 2,0.80,Choice 2,16.21,Vegetarian | Texture: Puree
Linhaven For The Aged,4,Monday,Choice 1,2.75,Choice 1,0.08,Choice 1,5.12,Choice 1,0.70,Choice 1,4.05,Choice 1,0.92,Choice 1,13.62,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.12,Choice 2,0.44,Choice 2,5.34,Choice 2,0.80,Choice 2,5.75,Choice 2,0.80,Choice 2,16.25,Vegetarian | Texture: Puree
Linhaven For The Aged,4,Tuesday,Choice 1,3.26,Choice 1,0.03,Choice 1,6.40,Choice 1,0.86,Choice 1,4.40,Choice 1,1.12,Choice 1,16.07,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.60,Choice 2,0.44,Choice 2,5.55,Choice 2,0.80,Choice 2,5.88,Choice 2,0.80,Choice 2,17.07,Vegetarian | Texture: Puree
Linhaven For The Aged,4,Wednesday,Choice 1,3.04,Choice 1,0.08,Choice 1,5.62,Choice 1,0.77,Choice 1,5.09,Choice 1,0.62,Choice 1,15.22,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.22,Choice 2,0.44,Choice 2,5.47,Choice 2,0.80,Choice 2,5.75,Choice 2,0.80,Choice 2,16.48,Vegetarian | Texture: Puree
Linhaven For The Aged,4,Thursday,Choice 1,3.24,Choice 1,0.08,Choice 1,4.82,Choice 1,0.44,Choice 1,3.85,Choice 1,1.18,Choice 1,13.61,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,2.39,Choice 2,0.44,Choice 2,5.21,Choice 2,0.80,Choice 2,5.32,Choice 2,0.80,Choice 2,14.96,Vegetarian | Texture: Puree
Linhaven For The Aged,4,Friday,Choice 1,2.82,Choice 1,0.08,Choice 1,4.05,Choice 1,0.49,Choice 1,4.90,Choice 1,0.46,Choice 1,12.80,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.60,Choice 2,0.44,Choice 2,5.30,Choice 2,0.80,Choice 2,6.09,Choice 2,0.80,Choice 2,17.03,Vegetarian | Texture: Puree
Linhaven For The Aged,4,Saturday,Choice 1,3.06,Choice 1,0.08,Choice 1,4.15,Choice 1,0.97,Choice 1,4.58,Choice 1,0.97,Choice 1,13.81,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,2.76,Choice 2,0.44,Choice 2,4.95,Choice 2,0.80,Choice 2,6.49,Choice 2,0.80,Choice 2,16.24,Vegetarian | Texture: Puree
Linhaven For The Aged,4,Sunday,Choice 1,3.57,Choice 1,0.08,Choice 1,5.39,Choice 1,0.44,Choice 1,6.74,Choice 1,0.85,Choice 1,17.07,Vegetarian | Texture: Puree
Linhaven For The Aged,,,Choice 2,3.22,Choice 2,0.44,Choice 2,4.80,Choice 2,0.80,Choice 2,7.24,Choice 2,0.80,Choice 2,17.30,Vegetarian | Texture: Puree
Linhaven For The Aged,1,Monday,Choice 1,2.47,Choice 1,0.08,Choice 1,4.82,Choice 1,0.38,Choice 1,4.54,Choice 1,0.93,Choice 1,13.22,Vegetarian | Texture: Mince Meat
Linhaven For The Aged,,,Choice 2,2.16,Choice 2,0.44,Choice 2,5.89,Choice 2,0.69,Choice 2,4.91,Choice 2,0.69,Choice 2,14.78,Vegetarian | Texture: Mince Meat
Linhaven For The Aged,1,Tuesday,Choice 1,3.06,Choice 1,0.03,Choice 1,4.95,Choice 1,0.30,Choice 1,4.40,Choice 1,0.92,Choice 1,13.66,Vegetarian | Texture: Mince Meat
Linhaven For The Aged,,,Choice 2,2.45,Choice 2,0.44,Choice 2,5.41,Choice 2,0.69,Choice 2,4.23,Choice 2,0.69,Choice 2,13.91,Vegetarian | Texture: Mince Meat
Linhaven For The Aged,1,Wednesday,Choice 1,2.35,Choice 1,0.08,Choice 1,3.52,Choice 1,0.71,Choice 1,5.36,Choice 1,0.78,Choice 1,12.80,Vegetarian | Texture: Mince Meat
Linhaven For The Aged,,,Choice 2,2.19,Choice 2,0.44,Choice 2,5.34,Choice 2,0.69,Choice 2,4.50,Choice 2,0.69,Choice 2,13.85,Vegetarian | Texture: Mince Meat
Linhaven For The Aged,1,Thursday,Choice 1,3.74,Choice 1,0.08,Choice 1,4.46,Choice 1,0.37,Choice 1,3.51,Choice 1,1.23,Choice 1,13.39,Vegetarian | Texture: Mince Meat
Linhaven For The Aged,,,Choice 2,2.35,Choice 2,0.44,Choice 2,4.47,Choice 2,0.69,Choice 2,6.30,Choice 2,0.69,Choice 2,14.94,Vegetarian | Texture: Mince Meat
Linhaven For The Aged,1,Friday,Choice 1,2.52,Choice 1,0.08,Choice 1,4.78,Choice 1,0.26,Choice 1,3.41,Choice 1,0.77,Choice 1,11.82,Vegetarian | Texture: Mince Meat
Linhaven For The Aged,,,Choice 2,2.26,Choice 2,0.44,Choice 2,4.70,Choice 2,0.69,Choice 2,5.59,Choice 2,0.69,Choice 2,14.37,Vegetarian | Texture: Mince Meat
